n = 4
  |V|   |E|   deg   Gen Set   alpha   sigma
  14    63    9     [1, 3, 5, 6, 7]         3       1
  14    63    9     [1, 4, 5, 6, 7]         2       1
  14    70    10    [2, 3, 4, 5, 6]         2       1
  14    63    9     [2, 3, 4, 5, 7]         2       1
  14    63    9     [2, 3, 4, 6, 7]         2       1
  14    63    9     [2, 3, 5, 6, 7]         2       1
  14    63    9     [2, 4, 5, 6, 7]         2       1
  14    63    9     [3, 4, 5, 6, 7]         3       1
  14    84    12    [1, 2, 3, 4, 5, 6]      2       2
  14    77    11    [1, 2, 3, 4, 5, 7]      2       1
  14    77    11    [1, 2, 3, 4, 6, 7]      2       1
  14    77    11    [1, 2, 3, 5, 6, 7]      2       1
  14    77    11    [1, 2, 4, 5, 6, 7]      2       1
  14    77    11    [1, 3, 4, 5, 6, 7]      2       1
  14    77    11    [2, 3, 4, 5, 6, 7]      2       1
  14    91    13    [1, 2, 3, 4, 5, 6, 7]   1       1

n = 15
  |V|   |E|   deg   Gen Set                 alpha   sigma
  15    30    4     [1, 2]                  5       1
  15    30    4     [1, 3]                  6       1
  15    30    4     [1, 4]                  6       1
  15    30    4     [1, 5]                  5       1
  15    30    4     [1, 6]                  6       1
  15    30    4     [1, 7]                  5       1
  15    30    4     [2, 3]                  6       1
  15    30    4     [2, 4]                  5       1
  15    30    4     [2, 5]                  5       1
  15    30    4     [2, 6]                  6       1
  15    30    4     [2, 7]                  6       1
  15    30    4     [3, 4]                  6       1
  15    30    4     [3, 5]                  5       1
  15    30    4     [3, 7]                  6       1
  15    30    4     [4, 5]                  5       1
  15    30    4     [4, 6]                  6       1
  15    30    4     [4, 7]                  5       1
  15    30    4     [5, 6]                  5       1
  15    30    4     [5, 7]                  5       1
  15    30    4     [6, 7]                  6       1
  15    45    6     [1, 2, 3]               3       1
  15    45    6     [1, 2, 4]               5       1
  15    45    6     [1, 2, 5]               5       2
  15    45    6     [1, 2, 6]               4       1
  15    45    6     [1, 2, 7]               5       1
  15    45    6     [1, 3, 4]               4       1
  15    45    6     [1, 3, 5]               5       1
  15    45    6     [1, 3, 6]               3       1
  15    45    6     [1, 3, 7]               4       1
  15    45    6     [1, 4, 5]               5       2
  15    45    6     [1, 4, 6]               6       2
  15    45    6     [1, 4, 7]               5       1
  15    45    6     [1, 5, 6]               4       1
  15    45    6     [1, 5, 7]               5       2
  15    45    6     [1, 6, 7]               3       1
  15    45    6     [2, 3, 4]               4       1
  15    45    6     [2, 3, 5]               4       1
  15    45    6     [2, 3, 6]               3       1
  15    45    6     [2, 3, 7]               6       2
  15    45    6     [2, 4, 5]               5       2
  15    45    6     [2, 4, 6]               3       1
  15    45    6     [2, 4, 7]               5       1
  15    45    6     [2, 5, 6]               5       1
  15    45    6     [2, 5, 7]               5       2
  15    45    6     [2, 6, 7]               4       1
  15    45    6     [3, 4, 5]               5       1
  15    45    6     [3, 4, 6]               3       1
  15    45    6     [3, 4, 7]               3       1
  15    45    6     [3, 5, 6]               3       1
  15    45    6     [3, 5, 7]               4       1
  15    45    6     [3, 6, 7]               3       1
  15    45    6     [4, 5, 6]               4       1
  15    45    6     [4, 5, 7]               5       2
  15    45    6     [4, 6, 7]               4       1
  15    45    6     [5, 6, 7]               5       1
  15    60    8     [1, 2, 3, 4]            3       1
  15    60    8     [1, 2, 3, 5]            3       1
  15    60    8     [1, 2, 3, 6]            3       1
  15    60    8     [1, 2, 3, 7]            3       1
  15    60    8     [1, 2, 4, 5]            5       2
  15    60    8     [1, 2, 4, 6]            3       1
  15    60    8     [1, 2, 4, 7]            5       2
  15    60    8     [1, 2, 5, 6]            4       1
  15    60    8     [1, 2, 5, 7]            5       2
  15    60    8     [1, 2, 6, 7]            3       1
  15    60    8     [1, 3, 4, 5]            3       1
  15    60    8     [1, 3, 4, 6]            3       1
  15    60    8     [1, 3, 4, 7]            3       1
  15    60    8     [1, 3, 5, 6]            3       1
  15    60    8     [1, 3, 5, 7]            4       1
  15    60    8     [1, 3, 6, 7]            3       1
  15    60    8     [1, 4, 5, 6]            2       1
  15    60    8     [1, 4, 5, 7]            5       2
  15    60    8     [1, 4, 6, 7]            3       1
  15    60    8     [1, 5, 6, 7]            3       1
  15    60    8     [2, 3, 4, 5]            4       1
  15    60    8     [2, 3, 4, 6]            3       1
  15    60    8     [2, 3, 4, 7]            3       1
  15    60    8     [2, 3, 5, 6]            3       1
  15    60    8     [2, 3, 5, 7]            2       1
  15    60    8     [2, 3, 6, 7]            3       1
  15    60    8     [2, 4, 5, 6]            3       1
  15    60    8     [2, 4, 5, 7]            5       2
  15    60    8     [2, 4, 6, 7]            3       1
  15    60    8     [2, 5, 6, 7]            3       1
  15    60    8     [3, 4, 5, 6]            3       1
  15    60    8     [3, 4, 5, 7]            3       1
  15    60    8     [3, 4, 6, 7]            3       1
  15    60    8     [3, 5, 6, 7]            3       1
  15    60    8     [4, 5, 6, 7]            4       1
  15    75    10    [1, 2, 3, 4, 5]         2       1
  15    75    10    [1, 2, 3, 4, 6]         3       1
  15    75    10    [1, 2, 3, 4, 7]         3       1
  15    75    10    [1, 2, 3, 5, 6]         3       1
  15    75    10    [1, 2, 3, 5, 7]         2       1
  15    75    10    [1, 2, 3, 6, 7]         3       1
  15    75    10    [1, 2, 4, 5, 6]         2       1
  15    75    10    [1, 2, 4, 5, 7]         5       3
  15    75    10    [1, 2, 4, 6, 7]         3       1
  15    75    10    [1, 2, 5, 6, 7]         2       1
  15    75    10    [1, 3, 4, 5, 6]         2       1
  15    75    10    [1, 3, 4, 5, 7]         2       1
  15    75    10    [1, 3, 4, 6, 7]         3       1
  15    75    10    [1, 3, 5, 6, 7]         3       1
  15    75    10    [1, 4, 5, 6, 7]         2       1
  15    75    10    [2, 3, 4, 5, 6]         3       1
  15    75    10    [2, 3, 4, 5, 7]         2       1
  15    75    10    [2, 3, 4, 6, 7]         3       1
  15    75    10    [2, 3, 5, 6, 7]         2       1
  15    75    10    [2, 4, 5, 6, 7]         2       1
  15    75    10    [3, 4, 5, 6, 7]         3       1
  15    90    12    [1, 2, 3, 4, 5, 6]      2       1
  15    90    12    [1, 2, 3, 4, 5, 7]      2       1
  15    90    12    [1, 2, 3, 4, 6, 7]      3       2
  15    90    12    [1, 2, 3, 5, 6, 7]      2       1
  15    90    12    [1, 2, 4, 5, 6, 7]      2       1
  15    90    12    [1, 3, 4, 5, 6, 7]      2       1
  15    90    12    [2, 3, 4, 5, 6, 7]      2       1
  15    105   14    [1, 2, 3, 4, 5, 6, 7]   1       1

n = 16
  |V|   |E|   deg   Gen Set                    alpha   sigma
  16    32    4     [1, 2]                     5       1
  16    32    4     [1, 3]                     8       2
  16    32    4     [1, 4]                     6       1
  16    32    4     [1, 5]                     8       2
  16    32    4     [1, 6]                     6       1
  16    32    4     [1, 7]                     8       2
  16    24    3     [1, 8]                     7       1
  16    32    4     [2, 3]                     6       1
  16    32    4     [2, 5]                     6       1
  16    32    4     [2, 7]                     5       1
  16    32    4     [3, 4]                     6       1
  16    32    4     [3, 5]                     8       2
  16    32    4     [3, 6]                     5       1
  16    32    4     [3, 7]                     8       2
  16    24    3     [3, 8]                     7       1
  16    32    4     [4, 5]                     6       1
  16    32    4     [4, 7]                     6       1
  16    32    4     [5, 6]                     5       1
  16    32    4     [5, 7]                     8       2
  16    24    3     [5, 8]                     7       1
  16    32    4     [6, 7]                     6       1
  16    24    3     [7, 8]                     7       1
  16    48    6     [1, 2, 3]                  4       1
  16    48    6     [1, 2, 4]                  4       1
  16    48    6     [1, 2, 5]                  5       1
  16    48    6     [1, 2, 6]                  4       1
  16    48    6     [1, 2, 7]                  4       1
  16    40    5     [1, 2, 8]                  5       1
  16    48    6     [1, 3, 4]                  4       1
