n = 5
  |V|   |E|   deg   Gen Set   alpha   sigma
  17    85    10    [1, 3, 5, 6, 8]            3       1
  17    85    10    [1, 3, 5, 7, 8]            4       1
  17    85    10    [1, 3, 6, 7, 8]            3       1
  17    85    10    [1, 4, 5, 6, 7]            2       1
  17    85    10    [1, 4, 5, 6, 8]            3       1
  17    85    10    [1, 4, 5, 7, 8]            3       1
  17    85    10    [1, 4, 6, 7, 8]            3       1
  17    85    10    [1, 5, 6, 7, 8]            3       1
  17    85    10    [2, 3, 4, 5, 6]            4       1
  17    85    10    [2, 3, 4, 5, 7]            3       1
  17    85    10    [2, 3, 4, 5, 8]            3       1
  17    85    10    [2, 3, 4, 6, 7]            3       1
  17    85    10    [2, 3, 4, 6, 8]            3       1
  17    85    10    [2, 3, 4, 7, 8]            4       1
  17    85    10    [2, 3, 5, 6, 7]            3       1
  17    85    10    [2, 3, 5, 6, 8]            2       1
  17    85    10    [2, 3, 5, 7, 8]            2       1
  17    85    10    [2, 3, 6, 7, 8]            3       1
  17    85    10    [2, 4, 5, 6, 7]            3       1
  17    85    10    [2, 4, 5, 6, 8]            3       1
  17    85    10    [2, 4, 5, 7, 8]            3       1
  17    85    10    [2, 4, 6, 7, 8]            2       1
  17    85    10    [2, 5, 6, 7, 8]            3       1
  17    85    10    [3, 4, 5, 6, 7]            3       1
  17    85    10    [3, 4, 5, 6, 8]            3       1
  17    85    10    [3, 4, 5, 7, 8]            3       1
  17    85    10    [3, 4, 6, 7, 8]            3       1
  17    85    10    [3, 5, 6, 7, 8]            3       1
  17    85    10    [4, 5, 6, 7, 8]            4       1
  17    102   12    [1, 2, 3, 4, 5, 6]         2       1
  17    102   12    [1, 2, 3, 4, 5, 7]         2       1
  17    102   12    [1, 2, 3, 4, 5, 8]         2       1
  17    102   12    [1, 2, 3, 4, 6, 7]         2       1
  17    102   12    [1, 2, 3, 4, 6, 8]         3       1
  17    102   12    [1, 2, 3, 4, 7, 8]         3       1
  17    102   12    [1, 2, 3, 5, 6, 7]         3       1
  17    102   12    [1, 2, 3, 5, 6, 8]         2       1
  17    102   12    [1, 2, 3, 5, 7, 8]         2       1
  17    102   12    [1, 2, 3, 6, 7, 8]         2       1
  17    102   12    [1, 2, 4, 5, 6, 7]         2       1
  17    102   12    [1, 2, 4, 5, 6, 8]         3       1
  17    102   12    [1, 2, 4, 5, 7, 8]         3       1
  17    102   12    [1, 2, 4, 6, 7, 8]         2       1
  17    102   12    [1, 2, 5, 6, 7, 8]         2       1
  17    102   12    [1, 3, 4, 5, 6, 7]         2       1
  17    102   12    [1, 3, 4, 5, 6, 8]         2       1
  17    102   12    [1, 3, 4, 5, 7, 8]         2       1
  17    102   12    [1, 3, 4, 6, 7, 8]         2       1
  17    102   12    [1, 3, 5, 6, 7, 8]         3       1
  17    102   12    [1, 4, 5, 6, 7, 8]         2       1
  17    102   12    [2, 3, 4, 5, 6, 7]         3       1
  17    102   12    [2, 3, 4, 5, 6, 8]         2       1
  17    102   12    [2, 3, 4, 5, 7, 8]         2       1
  17    102   12    [2, 3, 4, 6, 7, 8]         2       1
  17    102   12    [2, 3, 5, 6, 7, 8]         2       1
  17    102   12    [2, 4, 5, 6, 7, 8]         2       1
  17    102   12    [3, 4, 5, 6, 7, 8]         3       1
  17    119   14    [1, 2, 3, 4, 5, 6, 7]      2       1
  17    119   14    [1, 2, 3, 4, 5, 6, 8]      2       1
  17    119   14    [1, 2, 3, 4, 5, 7, 8]      2       1
  17    119   14    [1, 2, 3, 4, 6, 7, 8]      2       1
  17    119   14    [1, 2, 3, 5, 6, 7, 8]      2       1
  17    119   14    [1, 2, 4, 5, 6, 7, 8]      2       1
  17    119   14    [1, 3, 4, 5, 6, 7, 8]      2       1
  17    119   14    [2, 3, 4, 5, 6, 7, 8]      2       1
  17    136   16    [1, 2, 3, 4, 5, 6, 7, 8]   1       1

n = 18
  |V|   |E|   deg   Gen Set     alpha   sigma
  18    36    4     [1, 5]      9       2
  18    36    4     [1, 7]      9       2
  18    36    4     [5, 7]      9       2
  18    54    6     [1, 5, 7]   9       3

n = 19
  |V|   |E|   deg   Gen Set                       alpha   sigma
  19    38    4     [1, 2]                        6       1
  19    38    4     [1, 3]                        8       1
  19    38    4     [1, 4]                        7       1
  19    38    4     [1, 5]                        7       1
  19    38    4     [1, 6]                        8       1
  19    38    4     [1, 7]                        7       1
  19    38    4     [1, 8]                        7       1
  19    38    4     [1, 9]                        6       1
  19    38    4     [2, 3]                        7       1
  19    38    4     [2, 4]                        6       1
  19    38    4     [2, 5]                        7       1
  19    38    4     [2, 6]                        8       1
  19    38    4     [2, 7]                        8       1
  19    38    4     [2, 8]                        7       1
  19    38    4     [2, 9]                        7       1
  19    38    4     [3, 4]                        7       1
  19    38    4     [3, 5]                        7       1
  19    38    4     [3, 6]                        6       1
  19    38    4     [3, 7]                        7       1
  19    38    4     [3, 8]                        6       1
  19    38    4     [3, 9]                        8       1
  19    38    4     [4, 5]                        8       1
  19    38    4     [4, 6]                        7       1
  19    38    4     [4, 7]                        8       1
  19    38    4     [4, 8]                        6       1
  19    38    4     [4, 9]                        7       1
  19    38    4     [5, 6]                        7       1
  19    38    4     [5, 7]                        6       1
  19    38    4     [5, 8]                        8       1
  19    38    4     [5, 9]                        6       1
  19    38    4     [6, 7]                        6       1
  19    38    4     [6, 8]                        7       1
  19    38    4     [6, 9]                        7       1
  19    38    4     [7, 8]                        7       1
  19    38    4     [7, 9]                        7       1
  19    38    4     [8, 9]                        8       1
  19    57    6     [1, 2, 3]                     4       1
  19    57    6     [1, 2, 4]                     5       1
  19    57    6     [1, 2, 5]                     6       1
  19    57    6     [1, 2, 6]                     5       1
  19    57    6     [1, 2, 7]                     5       1
  19    57    6     [1, 2, 8]                     6       1
  19    57    6     [1, 2, 9]                     5       1
  19    57    6     [1, 3, 4]                     5       1
  19    57    6     [1, 3, 5]                     7       1
  19    57    6     [1, 3, 6]                     5       1
  19    57    6     [1, 3, 7]                     6       1
  19    57    6     [1, 3, 8]                     5       1
  19    57    6     [1, 3, 9]                     5       1
  19    57    6     [1, 4, 5]                     5       1
  19    57    6     [1, 4, 6]                     6       1
  19    57    6     [1, 4, 7]                     7       1
  19    57    6     [1, 4, 8]                     6       1
  19    57    6     [1, 4, 9]                     6       1
  19    57    6     [1, 5, 6]                     5       1
  19    57    6     [1, 5, 7]                     6       1
